AÑO,FY,Detalle,Compañía,Sociedad,ON,Concepto,Fecha Inicio,Fecha Fin,Tasa,Moneda,Monto Emitido,Outstanding,Intereses,Amortización,Capital
2027,FY2027,HD,3000 - IRSA Inversiones y Repr,3000 - IRSA Inversiones y Repr,XXIII,Intereses,23/07/2026,23/01/2027,"7,25%",USD MEP - ARGENTINA,,51467822,"1.881.043,14",,
2026,FY2027,HD,3000 - IRSA Inversiones y Repr,3000 - IRSA Inversiones y Repr,XIV,Intereses,22/06/2026,22/12/2026,"8,75%",USD Int,,49063825,"2.146.542,34",,
2029,FY2030,HD,3000 - IRSA Inversiones y Repr,3000 - IRSA Inversiones y Repr,XXIV,Intereses + Capital,30/09/2033,31/03/2034,"8,00%",USD Int,480454198,317381874,"12.695.274,97",33%,158.549.885
2026,FY2027,HD,3000 - IRSA Inversiones y Repr,3000 - IRSA Inversiones y Repr,XVIII,Intereses,28/02/2026,28/08/2026,"7,00%",USD MEP - ARGENTINA S/MULC,,21408926,"743.153,68",,
2026,FY2027,HD,3000 - IRSA Inversiones y Repr,3000 - IRSA Inversiones y Repr,XXII,Intereses,23/01/2026,23/07/2026,"5,75%",USD MEP - ARGENTINA,,15799810,"450.511,02",,
2026,FY2027,HD,3000 - IRSA Inversiones y Repr,3000 - IRSA Inversiones y Repr,XXIII,Intereses,23/01/2026,23/07/2026,"7,25%",USD MEP - ARGENTINA,,51467822,"1.850.373,96",,
2026,FY2026,HD,3000 - IRSA Inversiones y Repr,3000 - IRSA Inversiones y Repr,XIV,Intereses + Capital,22/12/2025,22/06/2026,"8,75%",USD Int,103292263,67139971,"2.937.373,73",18%,18.076.146
2026,FY2026,HD,3000 - IRSA Inversiones y Repr,3000 - IRSA Inversiones y Repr,XX,Intereses + Capital,10/12/2025,10/06/2026,"6,00%",USD MEP - ARGENTINA S/MULC,23015242,23015242,"688.565,60",100%,23.015.242
2029,FY2030,HD,3000 - IRSA Inversiones y Repr,3000 - IRSA Inversiones y Repr,XXIV,Intereses,31/03/2034,30/09/2034,"8,00%",USD Int,,161059459,"6.442.378,34",,
2026,FY2026,HD,3000 - IRSA Inversiones y Repr,3000 - IRSA Inversiones y Repr,XVIII,Intereses,28/08/2025,28/02/2026,"7,00%",USD MEP - ARGENTINA S/MULC,,21408926,"755.471,14",,
2026,FY2026,HD,3000 - IRSA Inversiones y Repr,3000 - IRSA Inversiones y Repr,XXII,Intereses,23/07/2025,23/01/2026,"5,75%",USD MEP - ARGENTINA,,15799810,"457.978,05",,
2026,FY2026,HD,3000 - IRSA Inversiones y Repr,3000 - IRSA Inversiones y Repr,XXIII,Intereses,23/07/2025,23/01/2026,"7,25%",USD MEP - ARGENTINA,,51467822,"1.881.043,14",,
2025,FY2026,HD,3000 - IRSA Inversiones y Repr,3000 - IRSA Inversiones y Repr,XIV,Intereses,22/06/2025,22/12/2025,"8,75%",USD Int,,67139971,"2.937.373,73",,
2025,FY2026,HD,3000 - IRSA Inversiones y Repr,3000 - IRSA Inversiones y Repr,XX,Intereses,10/06/2025,10/12/2025,"6,00%",USD MEP - ARGENTINA S/MULC,,23015242,"692.348,92",,
2025,FY2026,HD,3000 - IRSA Inversiones y Repr,3000 - IRSA Inversiones y Repr,XVII,Intereses + Capital,07/06/2025,07/12/2025,"5,00%",USD MEP - ARGENTINA S/MULC,25000000,25000000,"626.712,33",100%,25.000.000
2029,FY2030,HD,3000 - IRSA Inversiones y Repr,3000 - IRSA Inversiones y Repr,XXIV,Intereses + Capital,30/09/2034,31/03/2035,"8,00%",USD Int,480454198,161059459,"6.442.378,34",34%,163.354.427
